Result for RegNo: 22155135001
100403P,Digital Electronics,25,14,39,B,2.00
105401P,Computer Organization & Architecture,26,18,44,A,2.00
105402P,Design & Analysis of Algorithms,28,17,45,A+,2.00
105403P,Operating Systems,28,16,44,A,2.00


Result for RegNo: 22155135019
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,49,22,71,B,3.00
100404,Discrete Mathematics,35,27,62,C,4.00
100407,Human Resource Development and Organizational Behavior,51,27,78,B,3.00
105401,Computer Organization & Architecture,51,29,80,A,3.00
105402,Design & Analysis of Algorithms,41,22,63,C,3.00
105403,Operating Systems,45,22,67,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,16,42,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,23,17,40,A,2.00
105403P,Operating Systems,24,17,41,A,2.00


Result for RegNo: 22155135020
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,55,24,79,B,3.00
100404,Discrete Mathematics,47,27,74,B,4.00
100407,Human Resource Development and Organizational Behavior,39,26,65,C,3.00
105401,Computer Organization & Architecture,36,29,65,C,3.00
105402,Design & Analysis of Algorithms,40,22,62,C,3.00
105403,Operating Systems,53,22,75,B,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,16,43,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,22,17,39,B,2.00
105403P,Operating Systems,24,17,41,A,2.00


Result for RegNo: 22155135021
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,41,27,68,C,3.00
100404,Discrete Mathematics,27,27,54,D,4.00
100407,Human Resource Development and Organizational Behavior,54,30,84,A,3.00
105401,Computer Organization & Architecture,29,29,58,D,3.00
105402,Design & Analysis of Algorithms,32,27,59,D,3.00
105403,Operating Systems,36,29,65,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,19,47,A+,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,26,20,46,A+,2.00
105403P,Operating Systems,24,19,43,A,2.00


Result for RegNo: 22155135022
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,50,18,68,C,3.00
100404,Discrete Mathematics,40,24,64,C,4.00
100407,Human Resource Development and Organizational Behavior,47,22,69,C,3.00
